trip_id,stop_id,stop_sequence,arrival_time_sec,departure_time_sec,arrival_time,departure_time
15SIAM,1,1,0,0,00:00:00,00:00:00
15SIAM,2,2,181.12,181.12,00:03:01,00:03:01
15SIAM,3,3,282.16,282.16,00:04:42,00:04:42
15SIAM,4,4,454.8,454.8,00:07:35,00:07:35
15SIAM,5,5,577.36,577.36,00:09:37,00:09:37
15SIAM,6,6,647.76,647.76,00:10:48,00:10:48
15SIAM,7,7,779.52,779.52,00:13:00,00:13:00
15SIAM,8,8,894.88,894.88,00:14:55,00:14:55
15SIAM,9,9,1015.28,1015.28,00:16:55,00:16:55
15SIAM,10,10,1154.72,1154.72,00:19:15,00:19:15
15SIAM,11,11,1309.92,1309.92,00:21:50,00:21:50
15SIAM,12,12,1419.92,1419.92,00:23:40,00:23:40
15SIAM,13,13,1591.36,1591.36,00:26:31,00:26:31
15SIAM,14,14,1787.04,1787.04,00:29:47,00:29:47
15SIAM,15,15,1995.44,1995.44,00:33:15,00:33:15
15SIAM,16,16,2129.04,2129.04,00:35:29,00:35:29
15SIAM,17,17,2385.04,2385.04,00:39:45,00:39:45
15SIAM,18,18,2497.04,2497.04,00:41:37,00:41:37
15SIAM,19,19,2609.04,2609.04,00:43:29,00:43:29
15SIAM,20,20,2737.04,2737.04,00:45:37,00:45:37
15SIAM,21,21,2881.04,2881.04,00:48:01,00:48:01
15SIAM,22,22,3001.04,3001.04,00:50:01,00:50:01
15SIAM,23,23,3145.04,3145.04,00:52:25,00:52:25
15SIAM,24,24,3253.04,3253.04,00:54:13,00:54:13
15SIAM,25,25,3361.84,3361.84,00:56:02,00:56:02
15SIAM,26,26,3649.84,3649.84,01:00:50,01:00:50
15SIAM,27,27,3825.84,3825.84,01:03:46,01:03:46
15SIAM,28,28,3945.84,3945.84,01:05:46,01:05:46
15SIAM,29,29,4065.84,4065.84,01:07:46,01:07:46
15SIAM,30,30,4305.84,4305.84,01:11:46,01:11:46
15SIAM,31,31,4385.84,4385.84,01:13:06,01:13:06
15SIAM,32,32,4585.84,4585.84,01:16:26,01:16:26
15SIAM,33,33,4745.84,4745.84,01:19:06,01:19:06
15SIAM,34,34,4985.84,4985.84,01:23:06,01:23:06
15SAM,34,1,0,0,00:00:00,00:00:00
15SAM,33,2,240,240,00:04:00,00:04:00
15SAM,32,3,400,400,00:06:40,00:06:40
15SAM,31,4,600,600,00:10:00,00:10:00
15SAM,30,5,680,680,00:11:20,00:11:20
15SAM,29,6,920,920,00:15:20,00:15:20
15SAM,28,7,1040,1040,00:17:20,00:17:20
15SAM,27,8,1160,1160,00:19:20,00:19:20
15SAM,26,9,1336,1336,00:22:16,00:22:16
15SAM,25,10,1624,1624,00:27:04,00:27:04
15SAM,24,11,1732.8,1732.8,00:28:53,00:28:53
15SAM,23,12,1840.8,1840.8,00:30:41,00:30:41
15SAM,22,13,1984.8,1984.8,00:33:05,00:33:05
15SAM,21,14,2104.8,2104.8,00:35:05,00:35:05
15SAM,20,15,2248.8,2248.8,00:37:29,00:37:29
15SAM,19,16,2376.8,2376.8,00:39:37,00:39:37
15SAM,18,17,2488.8,2488.8,00:41:29,00:41:29
15SAM,17,18,2600.8,2600.8,00:43:21,00:43:21
15SAM,16,19,2856.8,2856.8,00:47:37,00:47:37
15SAM,15,20,2990.4,2990.4,00:49:50,00:49:50
15SAM,14,21,3198.8,3198.8,00:53:19,00:53:19
15SAM,13,22,3394.48,3394.48,00:56:34,00:56:34
15SAM,12,23,3565.92,3565.92,00:59:26,00:59:26
15SAM,11,24,3675.92,3675.92,01:01:16,01:01:16
15SAM,10,25,3831.12,3831.12,01:03:51,01:03:51
15SAM,9,26,3970.56,3970.56,01:06:11,01:06:11
15SAM,8,27,4090.96,4090.96,01:08:11,01:08:11
15SAM,7,28,4206.32,4206.32,01:10:06,01:10:06
15SAM,6,29,4338.08,4338.08,01:12:18,01:12:18
15SAM,5,30,4408.48,4408.48,01:13:28,01:13:28
15SAM,4,31,4531.04,4531.04,01:15:31,01:15:31
15SAM,3,32,4703.68,4703.68,01:18:24,01:18:24
15SAM,2,33,4804.72,4804.72,01:20:05,01:20:05
15SAM,1,34,4985.84,4985.84,01:23:06,01:23:06
